	1wt_fbs1	2ko_fbs1	3wt_ink1	4ko_ink1	5wt_fbs2	6ko_fbs2	7wt_ink2	8ko_ink2	9wt_fbs3	10ko_fbs3	11wt_ink3	12ko_ink3
Lrrc43	0	0	1	0	4	1	2	2	1	2	0	0
Lrrc45	153	577	145	491	562	765	206	570	483	871	423	979
Lrrc46	9	16	3	7	36	11	5	6	25	19	10	16
Lrrc47	511	1340	423	1195	2331	1977	572	1316	1777	2304	1056	1998
Lrrc48	14	9	27	18	83	16	23	22	67	14	53	27
Lrrc49	116	226	173	247	350	252	125	294	270	293	276	470
Lrrc4b	3	19	2	25	8	26	2	36	5	26	3	71
Lrrc4c	0	2	0	0	0	1	0	0	0	0	0	1
Lrrc51	17	19	12	17	55	15	21	8	45	12	30	10
Lrrc52	0	0	0	0	0	3	0	0	1	2	0	0
Lrrc55	0	1	0	1	1	3	0	1	1	5	0	2
Lrrc56	38	44	45	74	129	59	42	86	97	89	115	110
Lrrc57	119	217	95	146	522	285	84	144	369	363	184	250
Lrrc58	3523	4931	2674	5077	5903	5205	2394	5137	5572	5688	5221	7206
Lrrc59	1669	5231	925	1842	9120	6919	1076	1857	7327	8068	2007	3170
Lrrc6	1	3	1	0	0	3	1	0	1	3	2	0
Lrrc61	78	58	126	113	177	111	143	139	170	136	240	244
Lrrc63	0	2	2	0	1	6	0	2	2	2	0	2
Lrrc66	0	0	0	0	0	0	0	0	1	0	0	0
Lrrc69	0	5	0	2	1	8	1	0	3	3	1	1
Lrrc7	0	0	0	1	1	1	0	1	0	2	2	2
Lrrc71	5	6	3	7	7	11	5	9	8	6	15	16
Lrrc72	0	2	0	0	0	0	0	0	0	1	0	0
Lrrc73	7	14	7	23	19	48	3	20	13	49	12	30
Lrrc74a	0	2	2	0	7	0	0	0	1	1	1	0
Lrrc74b	2	2	0	6	5	4	0	1	2	6	7	8
Lrrc75a	51	185	78	294	136	209	85	384	101	215	140	556
Lrrc75b	3	11	5	9	15	9	3	8	7	9	9	15
Lrrc8a	459	1653	467	1813	1232	2013	419	1845	1009	2141	872	2483
Lrrc8b	172	132	57	141	178	165	60	132	161	154	109	193
Lrrc8c	55	651	76	1144	271	714	74	1190	221	904	153	1600
Lrrc8d	874	1218	527	994	1565	1462	604	889	1853	1649	1148	1451
Lrrc8e	14	31	7	32	49	33	14	24	33	42	23	37
Lrrc9	44	64	44	43	132	56	49	33	96	69	100	50
Lrrcc1	275	729	308	489	770	780	267	572	642	941	733	858
Lrrd1	2	9	1	14	4	12	3	8	5	15	1	20
Lrrfip1	454	1337	727	1953	2106	1455	776	1924	1803	1733	1630	3005
Lrrfip2	375	690	340	637	1266	886	360	649	1005	949	737	1111
Lrriq1	6	26	11	19	20	22	9	23	16	32	14	25
Lrriq3	3	5	1	1	3	8	2	4	4	11	1	6
Lrriq4	39	124	84	77	105	160	75	111	84	204	178	136
Lrrk1	24	307	35	223	98	251	40	196	94	305	64	273
Lrrk2	5	305	14	288	55	439	24	261	63	561	20	493
Lrrn1	27	68	20	71	28	96	18	67	21	124	21	166
Lrrn2	20	119	207	178	79	178	304	164	84	226	480	298
Lrrn3	22	58	41	40	29	71	39	37	28	43	89	94
Lrrn4	38	1016	54	788	271	1253	59	866	177	1440	193	1439
Lrrn4cl	93	97	69	171	123	111	63	217	106	125	182	306
Lrrtm1	2	1	1	5	1	9	1	14	0	11	1	24
Lrrtm2	240	304	301	274	312	278	215	221	286	203	429	239
Lrrtm3	0	6	1	3	3	13	0	4	1	2	0	10
Lrrtm4	0	1	0	1	0	2	0	0	0	1	0	0
Lrsam1	93	287	159	220	663	313	180	271	461	321	370	315
