WT_0.1	KO_0.1	KO_0.2	WT_1.1	WT_1.2	KO_1.1	KO_1.2	WT_3.1	KO_3.1	KO_3.2	WT_8.1	WT_8.2	KO_8.1	KO_8.2
Brinp2	-2.426208894	-2.234867292	2.056270056	-1.057482045	6.066353699	0.40537857	-0.899477787	-1.653060943	0.8568675	3.326209124	-2.121595173	-0.924018092	1.186991677	-3.047620599
Gstm5	2.931343111	2.877832841	4.045517	-1.057482045	6.066353699	2.520855787	2.469756023	0.668867152	3.423214322	3.326209124	-0.536632673	-0.924018092	2.649618635	4.378644156
Gstm7	-2.426208894	-2.234867292	1.873792004	-1.057482045	6.066353699	-2.764546431	1.422450308	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-0.240265677
Gstm1	6.101268112	6.010209984	8.231936938	6.308840169	6.066353699	7.28937945	6.65766677	5.954269371	6.597296949	4.911171624	2.401966783	1.88333683	7.461071478	6.865268737
Stat5b	4.492654343	3.577630934	4.389580419	4.227920174	6.066353699	3.385200688	3.581648903	2.59486657	2.771137626	3.326209124	0.200332922	-0.924018092	0.353001628	-3.047620599
Stat5a	0.743716108	0.301185609	-2.280013332	1.26444605	6.066353699	-1.179583931	0.322914634	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-0.240265677
Map3k11	5.166248143	4.92096288	4.923579383	5.788008006	6.066353699	4.997004801	4.772947555	3.476222074	4.098942287	3.326209124	3.007687844	-0.924018092	2.399295281	2.652819119
Hmox2	7.543896997	6.703536132	7.762466855	8.297869051	6.066353699	7.355691446	7.646130275	6.040426014	7.547671371	4.911171624	2.27072225	4.567835004	6.921536087	6.233150171
Cdip1	7.874143666	7.085707642	7.109295341	7.414193169	7.6513162	6.382658494	6.69297925	6.700085882	6.416171045	5.648137218	2.27072225	0.660944409	4.476898099	3.200306914
Col5a3	1.274230824	0.800756618	-2.280013332	2.112442957	6.066353699	-2.764546431	-0.899477787	-1.653060943	0.326352783	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Dnmt1	8.541737812	8.108762603	8.123637854	8.379229497	7.6513162	7.898121944	8.138526657	8.10682724	7.649282402	7.026648842	4.417563638	4.361384127	5.592652039	5.788429756
Eif3g	9.346518055	8.560360674	8.534569134	8.468038764	7.6513162	8.424660403	9.252384411	8.234159672	8.863355421	7.026648842	5.872758264	5.921471959	6.134361342	6.24009178
Angptl2	1.033222725	0.800756618	-0.514478585	3.190445469	6.066353699	1.32291641	-2.484440288	2.434401898	1.800283971	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Hira	6.441069846	6.731493956	6.317666812	6.607853872	7.6513162	6.033115094	6.626695383	5.192429108	5.399601765	4.911171624	1.337836445	2.245906909	2.399295281	2.810360396
Adh1	0.743716108	-2.234867292	1.420426386	-1.057482045	6.066353699	-0.442618337	0.685484714	-1.653060943	2.014408777	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Dyrk2	7.21222702	8.552545582	8.07423605	7.462154208	6.066353699	7.441246818	7.860964959	6.160720248	6.563695546	7.026648842	3.163807046	5.098349721	4.191383446	4.19078414
Kifc2	1.82171862	1.709991154	-0.514478585	0.527480456	6.066353699	0.042808491	-2.484440288	2.990795247	0.326352783	4.911171624	-2.121595173	-0.924018092	-1.848632233	1.411811019
Psap	4.143646714	3.448829163	4.609946868	4.825161004	6.066353699	4.201237853	2.941824467	3.391333176	2.828853123	3.326209124	-0.536632673	-0.924018092	4.715136046	3.797869452
Plxna3	3.723538226	3.379842552	2.832686801	3.986912074	6.066353699	2.093434564	3.705384271	3.901527908	1.063318377	3.326209124	-0.536632673	2.245906909	3.73030648	-1.047620599
G6pdx	6.228427135	4.595489456	6.29060139	5.683984941	6.066353699	5.410379251	5.543465709	4.756329993	5.796672718	3.326209124	3.304669581	1.397910003	6.214223422	5.156950545
Pax2	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	0.935893287	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Wars2	4.849915511	4.820415144	5.219832555	3.466079911	6.066353699	3.068343583	4.864287867	3.391333176	4.295979134	8.940918968	2.12633234	-0.924018092	2.649618635	0.274307496
Phb2	10.5047132	9.920267163	10.65430413	10.18390532	8.388281794	10.05782523	10.1277371	9.529954058	10.18070174	8.880797975	6.869926673	6.352106313	8.974575761	8.863022131
Ptpn6	4.753700196	5.321255526	6.412776503	4.614943297	7.6513162	5.010240628	5.062454172	2.047378775	5.399601765	4.911171624	1.048329828	-0.924018092	-1.848632233	3.018468591
Eno2	2.097353062	2.101416096	1.420426386	0.527480456	6.066353699	1.483381082	1.21599943	1.516864058	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Emg1	9.069146498	9.557028157	9.266591789	8.74503432	8.388281794	9.138958879	9.537580682	8.218844294	8.841614578	7.026648842	4.417563638	4.120376027	7.919882947	7.14220396
Lpcat3	6.332014321	6.021577305	7.114449363	7.286813863	7.6513162	6.60396003	6.293636842	5.506810394	5.437198552	3.326209124	4.145191367	2.776421626	4.110210442	4.452225288
Grcc10	7.973603065	7.435080712	7.223414915	7.694062014	6.066353699	7.001982477	7.241777872	7.597237475	7.12365404	4.911171624	5.470861864	6.235853245	7.742703103	6.998139062
Irf5	2.859193325	0.800756618	-0.514478585	2.849408551	6.066353699	1.627770991	-2.484440288	1.806370675	-1.258609718	3.326209124	-0.536632673	0.660944409	0.353001628	-3.047620599
Atp6v1f	9.488549945	8.596914966	9.094700153	9.26782341	8.873708621	8.468473995	9.329741596	9.011386341	9.033328372	7.233099719	5.455833655	6.255890998	9.025273222	8.589004021
Clcn5	5.120685566	5.339537017	5.365284832	5.656763473	7.6513162	4.983646418	4.983165262	5.862638895	4.051245545	3.326209124	2.401966783	4.030178218	1.186991677	-0.240265677
Gpx6	-2.426208894	-0.469332545	1.664845114	-1.057482045	6.066353699	2.189649879	0.685484714	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Utp20	8.159692556	8.298267732	8.1108005	7.597153984	6.066353699	7.78716183	7.044990266	7.20180744	6.64225709	4.911171624	3.986929284	3.163444749	5.592652039	4.935372976
Spic	0.381146028	1.709991154	0.755610578	-1.057482045	6.066353699	0.935893287	3.665306832	-1.653060943	1.679989738	4.911171624	-2.121595173	-0.924018092	3.360821133	-3.047620599
Sst	-2.426208894	-2.234867292	-2.280013332	1.749872877	6.066353699	-2.764546431	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-0.240265677
Large1	5.49860361	4.533317033	5.416258752	4.497106807	6.066353699	4.26887657	5.912164493	3.632341276	4.356100126	3.326209124	2.736385822	1.397910003	2.096226213	-0.240265677
Npc1l1	1.033222725	1.171125068	-2.280013332	-1.057482045	6.066353699	2.189649879	1.907877135	-1.653060943	-1.258609718	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Ddx56	8.196758051	7.333848897	8.168928905	7.680610215	6.066353699	7.199794436	7.210788004	7.31560585	6.942697409	6.133564046	3.761047876	3.163444749	5.011834026	4.810360396
Tmed4	6.98105887	6.47456121	5.85851447	6.161686476	6.066353699	5.897231666	5.970886933	5.24175682	5.032944728	3.326209124	-2.121595173	1.397910003	3.360821133	0.952379401
Bid	7.729874182	7.57666796	6.985367302	6.959326243	6.066353699	6.717253	6.148554909	4.946851899	5.94759067	5.648137218	3.85568475	3.323909421	3.360821133	3.018468591
Ralb	6.519234942	6.289478525	6.053589297	6.607853872	6.066353699	6.127237272	5.277110945	5.335623744	5.162052331	4.911171624	1.578844545	1.397910003	3.360821133	2.274307496
Dnajb11	7.712062906	7.677123822	7.512126221	5.600729438	7.6513162	7.214164028	7.146736768	6.439696198	6.516177342	4.911171624	2.633292329	3.468299331	5.140052454	4.327418832
Tbccd1	5.93573488	5.357589746	5.219832555	3.896714265	6.066353699	4.703059119	5.250269332	3.391333176	3.632161212	3.326209124	3.304669581	1.397910003	2.096226213	-1.047620599
Clec11a	1.966108529	1.171125068	-2.280013332	3.466079911	6.066353699	3.610493	2.644842729	-1.653060943	1.063318377	3.326209124	-0.536632673	-0.924018092	0.353001628	-0.240265677
Zfp110	8.058614	7.268560955	7.213842118	7.372970507	6.066353699	7.054035746	7.528184251	7.043906583	6.368316076	5.648137218	3.711294841	3.933962903	4.919552092	3.83502245
Gab2	-2.426208894	0.301185609	-0.514478585	-1.057482045	6.066353699	-1.179583931	1.603022554	-1.653060943	1.243890623	3.326209124	-2.121595173	-0.924018092	-1.848632233	-0.240265677
Slc1a4	3.55107103	4.968725423	4.992383177	-1.057482045	6.066353699	4.395324905	5.222918844	0.668867152	3.039070831	3.326209124	-2.121595173	-0.924018092	4.191383446	2.039842242
Coro1c	8.359243574	7.422272485	8.131285791	7.852411039	8.388281794	7.505748895	7.411892116	7.344118538	7.182951224	4.911171624	3.986929284	2.245906909	6.049818	5.862272485
Ndrg2	3.639880297	3.514666976	4.72223912	4.825161004	6.066353699	4.312269166	4.309975579	2.870501013	2.989317796	3.326209124	2.522261017	3.163444749	-1.848632233	2.733739114
Pnpla6	6.48368419	4.214694083	5.058054466	6.519946783	6.066353699	3.539234317	3.855409715	5.506810394	3.897894768	3.326209124	1.337836445	4.285435274	2.649618635	2.039842242
Mcoln1	4.849915511	3.954957267	4.169548043	4.825161004	6.066353699	3.212733492	3.991293143	4.455463514	1.911315284	3.326209124	-0.536632673	2.535413527	2.096226213	-0.240265677
Arhgef18	6.819343812	6.91944452	7.431825688	6.621998055	6.066353699	7.005291412	6.892770243	4.019364399	4.944330341	5.648137218	0.685759749	-0.924018092	1.186991677	2.475941357
Pex11g	4.173703948	2.101416096	3.334696512	1.26444605	6.066353699	2.189649879	1.907877135	-1.653060943	1.243890623	3.326209124	-2.121595173	0.660944409	0.353001628	-1.047620599
Pcp2	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	0.353001628	0.652819119
Sgce	3.40668112	3.231107173	3.185961133	2.642957673	6.066353699	3.976920555	-0.162512193	3.773203811	1.548745204	3.326209124	-2.121595173	-0.924018092	-1.848632233	-1.047620599
Aqp1	-0.104280799	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	2.039121668	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Cnn2	7.497118591	7.633337935	8.063616563	7.531232591	6.066353699	7.708144408	6.551733325	6.081648677	7.258403452	8.081096626	4.253444258	4.030178218	7.376816236	6.801002341
Polr2e	9.779278926	9.360669935	9.783449164	9.106167631	6.066353699	9.071109259	9.680152429	8.672244512	9.519741246	7.84977108	5.906310823	5.705338528	8.839443194	8.543434175
Mtfp1	5.008419334	4.794143795	5.219832555	4.071800972	7.6513162	4.766835029	5.166611403	3.101826559	4.99563157	4.911171624	1.785295422	-0.924018092	2.399295281	3.680299855
Eif2b2	8.066645726	7.71612594	7.989814649	6.936871392	6.066353699	7.899900853	8.452933532	6.396787606	7.456780342	7.233099719	3.370257923	4.63057076	5.180378854	5.200306914
Pgf	-2.426208894	-2.234867292	0.256039569	-1.057482045	6.066353699	0.935893287	-0.899477787	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Ulk2	2.527987416	3.805148387	4.355160615	-1.057482045	6.066353699	4.055632531	2.941824467	-0.068098443	3.34625234	3.326209124	1.337836445	-0.924018092	2.399295281	0.652819119
Traf6	6.726075948	6.087962206	5.661327774	6.1421903	6.066353699	6.19255561	5.903576998	6.223456003	5.280549093	3.326209124	4.911827828	4.502246663	2.096226213	0.952379401
Prpsap2	6.598930668	7.787777936	7.077978452	6.36037047	6.066353699	6.818536336	6.212527239	5.846784944	6.036011031	4.911171624	3.163807046	0.660944409	4.191383446	3.309931405
Chmp2b	7.724807645	7.784445434	7.496419701	6.992366505	7.6513162	7.524319643	8.06534438	6.247805865	6.584787954	5.648137218	2.832601137	3.719838098	4.191383446	3.14220396
Plod3	6.298304959	4.871564786	6.317666812	5.71070228	7.6513162	5.263359565	5.290346772	5.713261271	4.87752697	4.911171624	4.068229386	2.982872504	4.476898099	3.411811019
Brpf3	5.961808391	5.814981258	6.509846309	6.082069307	6.066353699	5.469073245	5.597708754	4.455463514	5.611755002	3.326209124	2.12633234	1.397910003	2.096226213	2.733739114
Lbr	10.52014914	10.03548644	9.424322639	9.798165121	7.6513162	8.896786321	9.524338461	9.858197552	8.513429874	8.683761128	6.308857378	5.551715339	6.027884714	6.031864185
Prcc	4.886674061	4.564738131	4.826418746	4.557227799	6.066353699	4.857505388	3.348449726	3.476222074	4.793052402	3.326209124	1.048329828	2.982872504	3.360821133	-0.240265677
Hdgf	12.280449	11.74978258	11.81915364	12.70375751	10.31428121	11.67131913	11.01801861	12.10776294	11.07053257	10.67493728	8.931651953	8.659064675	10.10563679	9.714969066
Crabp2	3.18850095	2.541236696	3.105417705	3.80049895	6.066353699	3.068343583	3.130269556	3.773203811	2.828853123	4.911171624	-2.121595173	-0.924018092	2.399295281	2.733739114
U2af2	10.1457807	8.842616065	9.90144955	11.64317441	8.388281794	9.105432902	9.099112643	10.94382762	9.124734576	7.413671965	6.50411367	7.455360275	9.066201336	8.981666628
Ldha	8.881561138	9.113528916	9.286135868	7.673836986	7.6513162	8.631523126	8.949666641	7.864608445	8.355486605	7.718526546	3.493114671	2.982872504	8.023273005	7.182399837
Tmem242	7.006333006	6.831760117	7.179828085	6.948142504	8.388281794	6.923703878	7.079709202	6.541695911	6.882645941	4.911171624	1.785295422	1.88333683	5.257799845	5.081662418
Thop1	6.077616844	5.375419365	6.686347916	5.762696917	6.066353699	6.03958459	5.680466639	5.358166312	5.139421356	4.911171624	2.922798946	-0.924018092	3.835064221	4.544836438
Pias4	7.818154941	7.719619855	8.039432998	7.422298219	6.066353699	7.769756451	6.821621402	6.460681223	6.406726199	5.648137218	3.370257923	3.83086941	4.191383446	3.83502245
Map2k1	8.092444262	7.40066946	7.160025269	7.597153984	6.066353699	7.706112443	6.642264185	6.834779091	6.420870382	5.648137218	2.832601137	1.397910003	2.096226213	3.871242638
Sgta	8.220349816	8.029340705	7.845400139	7.438372982	6.066353699	7.082510915	8.074936803	5.713261271	6.662239335	8.455492141	3.087858192	4.74840725	3.360821133	3.411811019
Dtx2	6.525075821	6.638576821	6.651315153	5.600729438	6.066353699	6.577528237	7.083515788	4.68678906	5.907971841	5.648137218	1.337836445	0.660944409	4.476898099	3.411811019
Nfe2l3	0.743716108	1.709991154	-2.280013332	-1.057482045	6.066353699	0.042808491	1.21599943	-1.653060943	0.326352783	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Kdm5a	7.696619101	7.529672607	7.129801864	6.25540091	6.066353699	6.402871714	6.697954066	5.878320517	4.574280296	6.133564046	0.200332922	3.933962903	3.360821133	2.475941357
Sgsh	3.55107103	2.408988898	1.420426386	3.029980796	6.066353699	0.40537857	0.974991331	2.434401898	2.200821901	3.326209124	-2.121595173	-0.924018092	0.353001628	-3.047620599
Chd5	2.328678608	2.408988898	3.262244718	1.749872877	6.066353699	2.79004242	2.469756023	2.047378775	1.063318377	3.326209124	-2.121595173	-0.924018092	-1.848632233	0.652819119
Cstb	8.245332173	7.091112688	7.381408501	7.223288725	7.6513162	7.326888955	6.672906648	7.05774549	7.196717502	7.233099719	4.354138258	3.323909421	7.06844143	6.833493361
Sh2b2	1.480681702	3.307390758	2.363842858	-1.057482045	6.066353699	2.189649879	2.800961931	-1.653060943	0.326352783	3.326209124	-2.121595173	-0.924018092	0.353001628	2.378644156
Cd44	-0.104280799	-0.469332545	1.420426386	-1.057482045	6.066353699	-1.179583931	-2.484440288	1.806370675	-0.521644124	3.326209124	-2.121595173	1.88333683	-1.848632233	-3.047620599
Eif2ak4	5.909181461	6.16173749	4.801070597	5.542430797	6.066353699	5.516224339	4.966770824	4.68678906	4.469310737	4.911171624	2.27072225	-0.924018092	3.360821133	2.274307496
Wdr1	8.625679762	7.677123822	7.836070661	7.978691568	6.066353699	7.744238731	7.731092712	7.20180744	7.479482542	5.648137218	4.448260435	4.030178218	4.919552092	4.567089245
Slc2a9	-0.841246393	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Ccn4	1.274230824	3.751543644	3.105417705	2.112442957	6.066353699	2.093434564	3.070148564	2.253829652	1.800283971	3.326209124	-2.121595173	-0.924018092	-1.848632233	1.411811019
Ndrg1	6.08554376	5.78860986	5.141209968	5.600729438	6.066353699	5.111970515	4.983165262	3.838792153	2.711016633	3.326209124	3.087858192	-0.924018092	0.353001628	-3.047620599
Klf5	14.10412123	9.39930847	9.766360402	14.05426495	10.92433469	9.222362193	8.658304989	12.38594375	6.798479474	10.06767611	9.430593586	8.409137258	5.912919	5.472015654
Prdx2	10.00031795	7.791102758	8.565006198	9.824396663	8.388281794	7.885607782	8.147646125	9.281367097	7.84029965	7.970065313	6.806182789	7.290301029	8.340451025	7.590815315
Senp3	8.497861292	7.435080712	7.876069745	8.094802797	6.066353699	7.957407181	5.452197651	6.897685842	8.125814303	5.648137218	1.048329828	2.535413527	4.659162407	4.900746632
Spc25	8.594076607	6.81225662	7.914989695	7.834301658	6.066353699	7.125717846	7.585680657	7.036937028	6.689757514	3.326209124	4.21825483	2.245906909	4.024196527	4.132288491
Ufd1	7.956415133	7.476971728	7.6709799	8.079509067	6.066353699	7.467874496	7.175555605	7.085031316	6.872389772	7.574136637	3.986929284	0.660944409	4.341192326	4.733739114
App	6.489670485	6.202260553	6.37891218	6.1421903	6.066353699	5.488119001	5.20904667	6.439696198	5.081240285	4.911171624	1.578844545	1.88333683	4.341192326	3.720563726
Letm1	7.265534625	6.978965991	6.773641086	6.377146183	6.066353699	6.826040619	7.017396897	6.247805865	6.378014903	5.648137218	4.933687262	4.361384127	4.966430784	5.242398248
Fgfr4	4.288036624	2.101416096	-0.514478585	4.723877669	6.066353699	1.483381082	2.159415902	3.632341276	-0.521644124	3.326209124	-2.121595173	0.660944409	-1.848632233	-3.047620599
Txn2	7.956415133	7.002103595	7.762466855	7.560903457	6.066353699	6.93068186	6.939726001	6.439696198	6.489583132	6.785640742	3.761047876	3.599543864	5.787992388	5.14220396
Casp14	-2.426208894	-2.234867292	2.056270056	-1.057482045	6.066353699	-0.442618337	-2.484440288	-1.653060943	0.8568675	3.326209124	-2.121595173	-0.924018092	-1.848632233	0.274307496
Slc1a6	0.743716108	0.301185609	1.420426386	-1.057482045	6.066353699	-2.764546431	1.603022554	-1.653060943	-0.521644124	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Slc1a3	6.358425952	6.523355923	6.299679732	5.209304496	6.066353699	5.440024713	6.65766677	5.335623744	5.553032563	3.326209124	2.401966783	2.245906909	4.341192326	2.378644156
Msh6	10.66770379	11.04093713	10.46855692	10.30719981	8.873708621	10.65764977	10.57676212	9.322070514	9.993464325	8.611611342	6.656481956	6.064666595	7.659558698	7.552292243
Fbxo11	7.002151279	7.058374427	6.868209009	6.410123505	6.066353699	6.881112001	5.618847521	5.677855935	4.863786914	3.326209124	3.087858192	1.397910003	3.360821133	2.039842242
Mlxipl	1.274230824	4.174523644	3.020110393	2.642957673	6.066353699	2.444906934	4.054718523	1.516864058	2.648280878	3.326209124	-2.121595173	-0.924018092	0.353001628	0.274307496
Stx1a	4.288036624	3.805148387	4.169548043	4.227920174	6.066353699	3.921954096	2.873111717	3.101826559	2.200821901	3.326209124	-0.536632673	-0.924018092	0.353001628	1.906575711
Nid1	7.572381536	7.81742904	7.174902806	7.087176198	6.066353699	6.788122666	7.113612212	7.02993364	6.348720596	3.326209124	4.672820693	5.342768449	5.912919	5.596235591
Hmox1	5.590599394	5.20641698	4.389580419	5.481676766	6.066353699	5.861162412	6.104274348	4.36930687	4.145112468	3.326209124	1.965867668	0.660944409	2.096226213	0.652819119
Cic	7.569558257	6.961365969	7.817228738	7.834301658	6.066353699	6.733305406	7.585680657	6.147838957	6.023706521	4.911171624	3.711294841	4.567835004	3.360821133	3.411811019
Pafah1b3	7.07960266	5.245720979	6.299679732	7.295664781	6.066353699	5.459455243	4.592375309	6.481365377	5.660253519	3.326209124	2.736385822	4.690691752	4.191383446	4.071320474
Rfx1	7.035270553	6.406823231	6.799471452	7.232536802	6.066353699	5.986997628	6.605672132	6.646147075	5.008176823	5.648137218	1.048329828	3.83086941	3.73030648	2.733739114
Il27ra	-2.426208894	-0.469332545	-2.280013332	-1.057482045	6.066353699	-0.442618337	0.974991331	-1.653060943	-1.258609718	4.911171624	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Prkaca	7.300009265	5.878874874	6.263018489	5.88503246	7.6513162	6.046025203	6.170195741	6.418401419	5.846425753	3.326209124	4.867089514	4.502246663	5.787992388	5.596235591
Asf1b	7.956415133	7.234774526	7.228177599	7.147089099	8.388281794	7.194006284	7.064381621	6.691234965	6.31881911	6.133564046	1.337836445	2.535413527	5.098566351	3.797869452
Pkn1	6.710782218	5.692318066	5.894912351	5.385461451	6.066353699	5.111970515	5.392076659	6.259828393	4.640243559	4.911171624	4.287795763	3.163444749	4.024196527	1.411811019
Dnajb1	7.729874182	7.588181438	7.891163466	5.571874575	7.6513162	7.334801379	7.963676018	6.211125201	6.666202786	7.026648842	3.007687844	5.184506365	6.308209292	5.269792015
Ndufs3	7.473148029	6.984785273	6.29060139	6.677227575	6.066353699	7.057227551	7.214264379	6.147838957	6.17601851	5.648137218	3.986929284	2.535413527	5.622229967	4.327418832
Por	6.695324623	5.866320524	6.176957049	6.489412415	6.066353699	5.918448152	5.805578559	5.747818493	4.640243559	5.648137218	3.85568475	-0.924018092	3.360821133	2.733739114
Igf1r	7.5352408	7.529672607	7.759179908	8.938285106	6.066353699	7.167668321	6.922827477	7.321353647	6.277961299	5.648137218	3.85568475	4.120376027	5.401192316	4.847197164
Atp4a	1.033222725	-0.469332545	1.664845114	-1.057482045	6.066353699	-2.764546431	2.039121668	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Ube2m	7.61133806	5.264978595	7.735959176	8.048426464	7.6513162	6.725301529	6.050835089	7.60668232	5.351184636	4.911171624	3.550830169	4.63057076	4.871098824	4.810360396
Adcy9	2.431772101	3.514666976	2.617227094	1.749872877	6.066353699	1.32291641	2.159415902	1.516864058	-1.258609718	4.911171624	-2.121595173	-0.924018092	2.399295281	-3.047620599
Mef2c	-2.426208894	-2.234867292	2.056270056	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Ctr9	6.963960062	7.351972496	6.956957555	6.393729067	6.066353699	6.803409644	7.856522477	5.846784944	6.542290182	6.496134125	1.785295422	3.323909421	3.360821133	4.10212652
Pip5k1a	8.595465149	9.997853416	10.18294898	8.220967413	8.388281794	9.732057723	10.15919046	7.57335125	8.142980931	8.081096626	3.944494017	4.74840725	6.271346377	6.314323175
Snx6	7.164378156	6.531330306	6.740688872	6.442363842	6.066353699	6.523165948	6.662764637	5.764791572	6.192601394	3.326209124	3.432993678	5.053261831	4.341192326	4.071320474
Mthfd2	7.043432923	6.380578434	7.165001514	6.102389292	6.066353699	6.417847922	6.943919885	4.886097868	6.136567359	3.326209124	1.965867668	2.245906909	5.651213654	4.378644156
Kit	6.915865774	6.667809295	6.07489718	6.377146183	6.066353699	5.882911995	5.236658901	5.546611402	3.72628339	4.911171624	2.401966783	2.982872504	-1.848632233	0.952379401
Tomm40l	6.029118326	6.570554155	6.07489718	5.736933821	6.066353699	5.707128783	5.565408262	5.00515054	5.603511008	3.326209124	0.200332922	3.599543864	5.140052454	4.567089245
Nr1i3	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	1.186991677	-3.047620599
Apoa2	5.486680442	4.43472646	6.196530375	5.512373563	6.066353699	5.561883056	4.202060239	4.854733697	4.591056009	3.326209124	4.386199467	2.982872504	5.180378854	4.327418832
Pan2	6.28459754	6.308164529	5.942057024	4.775407969	6.066353699	5.570843923	4.144916332	5.033439584	5.437198552	3.326209124	1.785295422	-0.924018092	4.659162407	4.403590513
Cs	8.463295069	8.298267732	8.568766075	7.934039801	6.066353699	8.131028851	7.547605439	7.366529785	7.545521303	6.785640742	5.296257342	5.225729027	6.027884714	5.95800395
Ampd3	-0.841246393	3.514666976	3.650724006	-1.057482045	6.066353699	2.79004242	3.130269556	-1.653060943	1.063318377	3.326209124	-2.121595173	-0.924018092	0.353001628	-0.240265677
Ctcf	9.294462893	9.030161651	8.704832318	9.02865418	7.6513162	8.476840933	8.810754668	7.675613984	7.680969496	6.133564046	4.619871813	4.205264925	4.659162407	4.900746632
Tfap4	6.221249533	6.818787126	6.28146556	6.426333732	6.066353699	6.941085956	6.642264185	3.901527908	4.835907881	4.911171624	1.785295422	-0.924018092	2.399295281	3.018468591
Vav1	1.480681702	0.301185609	1.664845114	-1.057482045	6.066353699	1.879309758	2.039121668	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Psmb4	9.723855685	9.424147449	9.02251136	9.160475653	7.6513162	8.908320845	9.642586755	9.063758518	8.708616541	8.184190119	7.166117206	6.863884467	8.366900767	7.795515312
Slc30a4	5.361693665	4.896475247	5.25759336	4.30006996	8.873708621	5.023356128	4.966770824	3.704491061	4.733856609	4.911171624	-2.121595173	-0.924018092	-1.848632233	2.810360396
Sqor	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-0.036217296	3.326209124	-2.121595173	-0.924018092	-1.848632233	-0.240265677
Bloc1s6	7.095391546	6.241676415	5.675345974	7.045805763	6.066353699	6.026616457	6.08161375	6.609033902	4.336336871	5.648137218	5.557884926	5.994845145	3.048608193	-1.047620599
Adh5	9.898252962	9.347180578	9.097305668	8.672138699	7.6513162	9.213806527	8.894396425	9.060325572	8.690244171	7.413671965	6.60291868	6.174013991	8.418388493	7.866764533
Pth1r	2.618185225	3.954957267	4.283754947	2.642957673	7.6513162	3.016813282	3.665306832	-0.068098443	3.842928309	3.326209124	-2.121595173	-0.924018092	1.186991677	-3.047620599
Reep5	4.886674061	5.145377299	4.851329207	4.151971321	6.066353699	5.390271678	5.137611532	3.391333176	4.469310737	4.911171624	1.337836445	3.599543864	2.096226213	2.475941357
Arhgap8	5.79779278	4.76738516	5.647172026	6.756299146	7.6513162	5.160266072	4.675431049	5.192429108	5.020613926	3.326209124	0.200332922	0.660944409	4.871098824	3.906575711
Trh	8.528714398	8.255582502	8.068936078	7.887961791	7.6513162	8.135565632	8.142181365	7.47364353	7.746078928	6.496134125	4.253444258	3.83086941	5.180378854	4.713930633
Smpd4	8.548922563	8.05169047	7.722520429	7.364582721	7.6513162	7.41411842	7.381292983	7.643855264	7.146531745	8.455492141	3.007687844	2.776421626	4.341192326	4.544836438
Pex1	5.308500726	4.871564786	4.775269104	3.896714265	6.066353699	4.735299456	5.316459612	4.613725597	3.306174901	3.326209124	1.048329828	-0.924018092	2.399295281	0.652819119
Otx1	1.274230824	1.709991154	0.256039569	-1.057482045	6.066353699	1.759015525	1.907877135	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
