WT_0.1	KO_0.1	KO_0.2	WT_1.1	WT_1.2	KO_1.1	KO_1.2	WT_3.1	KO_3.1	KO_3.2	WT_8.1	WT_8.2	KO_8.1	KO_8.2
Dazap2	8.231109556	7.797729503	7.705544022	8.129870028	6.066353699	7.368595781	7.93235724	5.830754834	5.57005571	6.133564046	3.163807046	2.535413527	2.096226213	1.411811019
Trappc10	5.89120372	5.78860986	4.748997755	5.975940957	6.066353699	4.719269346	4.504244399	4.229582106	2.711016633	4.911171624	-2.121595173	-0.924018092	0.353001628	1.596235591
Ccm2	6.519234942	6.888736832	6.665430505	6.458217793	7.6513162	6.61699652	7.1023995	4.946851899	6.716760616	5.648137218	1.578844545	0.660944409	6.027884714	5.596235591
Tmprss2	2.097353062	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-0.162512193	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	2.399295281	-3.047620599
Egfl6	0.743716108	2.662373134	3.020110393	-1.057482045	6.066353699	1.627770991	1.603022554	-1.653060943	2.44183	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Galnt1	8.094409787	7.905962479	7.681436363	7.406042328	6.066353699	7.524319643	7.664036294	6.511845983	6.754480282	3.326209124	3.809142164	2.245906909	5.011834026	4.327418832
Mkrn2	7.02706174	7.13363917	7.184736607	6.326222248	6.066353699	7.113504481	6.784686391	5.781567284	6.502941515	6.133564046	1.048329828	-0.924018092	4.966430784	3.256160149
Pparg	1.661253947	-2.234867292	-2.280013332	0.527480456	6.066353699	-2.764546431	-2.484440288	-1.653060943	1.063318377	3.326209124	0.685759749	-0.924018092	-1.848632233	-3.047620599
Raf1	7.657270433	7.684293992	7.42354423	7.156837076	7.6513162	7.450986568	5.543465709	6.341292494	7.064820402	4.911171624	1.578844545	-0.924018092	4.919552092	4.713930633
Plin2	7.087518702	6.831760117	6.922110492	6.426333732	6.066353699	6.629916263	7.0332291	6.247805865	5.752617538	4.911171624	3.809142164	4.958624957	2.649618635	3.361770337
Pdgfra	-0.104280799	-2.234867292	-2.280013332	2.401949574	6.066353699	0.40537857	0.322914634	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Pdgfb	-0.841246393	3.577630934	2.929440034	-1.057482045	6.066353699	2.364736586	-0.899477787	2.047378775	0.8568675	3.326209124	-2.121595173	-0.924018092	1.186991677	-0.240265677
Mcm7	10.99124809	10.05013027	10.32754816	10.848281	9.236278701	9.366989037	10.01415964	9.980388431	9.387948992	7.718526546	7.202585373	7.012619847	6.495663675	6.384921301
Serpinb8	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	1.483381082	0.322914634	-1.653060943	-1.258609718	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Acvrl1	5.758666449	-2.234867292	-2.280013332	2.112442957	6.066353699	-2.764546431	-0.899477787	4.496686176	-2.843572219	3.326209124	1.965867668	2.245906909	-1.848632233	-1.047620599
Tamalin	8.432549206	6.984785273	6.933819951	7.928359892	6.066353699	5.786200354	6.770588282	6.682329411	4.591056009	7.233099719	4.386199467	5.265806467	2.399295281	1.906575711
Acvr1b	6.519234942	6.192235995	5.689229273	6.442363842	6.066353699	4.88650526	4.753964452	6.147838957	3.222516972	3.326209124	2.832601137	0.660944409	0.353001628	1.411811019
Ovgp1	1.033222725	0.301185609	2.218237536	1.26444605	6.066353699	1.142344164	1.763487226	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Sox9	-2.426208894	2.662373134	1.664845114	-1.057482045	6.066353699	1.759015525	1.907877135	-1.653060943	1.548745204	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Rdx	8.257662975	8.029340705	7.228177599	7.286813863	6.066353699	7.494019602	7.420946717	7.105162271	6.739510549	5.648137218	3.007687844	4.120376027	3.835064221	3.256160149
C1d	7.86956004	7.666301304	7.013228387	6.649877087	6.066353699	7.318932896	7.52538833	6.247805865	6.601442627	3.326209124	3.370257923	2.245906909	4.715136046	2.733739114
