"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Dgkeos" 18 6 8 31 6 7
"Gm525" 0 2 0 9 1 0
"Nog" 3 5 4 8 4 3
"4932411E22Rik" 0 0 0 1 1 0
"Ankfn1" 1 6 1 0 0 1
"Pctp" 30 53 22 79 22 20
"Tmem100" 1 2 0 0 0 1
"Mmd" 12 34 21 23 10 8
"Hlf" 33 55 23 106 58 46
"Stxbp4" 170 337 183 457 211 250
"Cox11" 188 276 122 366 144 123
"Tom1l1" 266 365 164 391 156 167
"4930405D11Rik" 0 0 0 0 0 0
"Kif2b" 3 0 0 1 0 0
"Car10" 18 35 31 62 34 53
"Utp18" 1089 1251 492 1486 529 506
"Mbtd1" 1716 2704 1320 3600 1518 1550
"Nme2" 1491 1772 600 1298 324 392
"Nme1" 980 1166 475 832 216 211
"Spag9" 620 1025 493 1905 751 938
"Tob1" 209 299 187 334 117 150
"Wfikkn2" 13 23 13 19 14 13
"Luc7l3" 4387 5464 2118 8432 2927 3157
"Ankrd40" 536 647 239 759 244 279
"Abcc3" 16 38 11 18 6 4
"Cacna1g" 86 118 87 81 28 44
"Spata20" 2 3 3 0 1 1
"Epn3" 7 18 6 13 2 1
"Mycbpap" 4 12 1 9 7 9
"Rsad1" 32 48 26 75 28 37
"Acsf2" 166 306 138 343 164 214
"Chad" 12 35 17 19 7 20
"Lrrc59" 2070 2433 1015 1860 522 569
"Eme1" 502 745 310 766 257 304
"Mrpl27" 130 176 78 220 110 90
"Xylt2" 435 911 446 953 429 473
"Gm11541" 1 4 3 4 0 0
"Gm11545" 8 9 12 8 4 10
"Tmem92" 17 58 30 36 11 11
"Gm11544" 3 5 7 11 1 5
"Col1a1" 26 112 59 32 17 11
"Sgca" 2 4 2 4 1 3
"Hils1" 0 0 0 2 0 0
"Ppp1r9b" 598 830 344 1060 338 394
"Samd14" 69 179 74 208 108 128
"Pdk2" 55 65 20 81 25 38
"Itga3" 761 1782 1260 1109 403 478
"Dlx3" 13 16 4 5 1 2
"Dlx4" 1 3 2 5 1 0
"A730090H04Rik" 3 4 0 3 1 2
"Tac4" 24 37 20 51 18 29
"Kat7" 1662 2247 1040 2918 1062 1208
"Fam117a" 184 236 131 251 59 112
"Slc35b1" 351 747 454 580 218 240
"Spop" 642 830 385 1185 413 458
"Nxph3" 20 66 17 47 11 14
"Ngfr" 362 828 473 589 224 258
"Phb" 1986 2489 1032 2213 631 616
"Zfp652os" 0 2 0 3 0 2
"B130006D01Rik" 94 171 84 273 105 128
"Zfp652" 1527 2020 985 4344 1636 1882
"Phospho1" 4 12 0 4 2 0
"Abi3" 33 28 14 44 23 18
"Gngt2" 19 15 4 13 2 5
"4833417C18Rik" 51 93 67 87 45 53
"B4galnt2" 341 628 433 913 395 410
"Igf2bp1" 10971 15248 6856 13389 4537 5297
"Mir3063" 0 0 0 0 0 0
"Gip" 2 13 1 4 0 2
"Snf8" 375 356 110 374 91 119
"Ube2z" 936 1096 398 1070 333 401
"Atp5g1" 556 704 284 580 159 182
"Calcoco2" 392 564 272 93 21 30
"Ttll6" 187 353 231 54 26 33
"Hoxb13" 3 4 1 3 3 1
"Gm11538" 4 6 2 11 1 8
"Gm53" 27 54 25 52 29 26
"Mir196a-1" 0 4 1 4 2 1
"Hoxb9" 25 80 35 100 48 54
"Hoxb8" 3 3 0 4 1 4
"Hoxb7" 4 7 3 11 7 2
"Hoxb5os" 0 1 0 0 0 0
"Hoxb6" 2 4 3 12 7 2
"Hoxb5" 7 6 0 5 0 0
"Mir10a" 0 0 0 0 0 0
"Hoxb4" 6 13 4 19 10 12
"Hoxb3" 3 10 3 7 2 3
"Hoxb2" 3 5 0 7 3 2
"Hoxb1" 1 12 4 6 1 2
"Gm11529" 2 2 1 1 0 0
"Skap1" 6 16 11 25 10 9
"Snx11" 240 375 151 322 94 101
"Cbx1" 2713 3059 1040 4711 1532 1705
"Gm11517" 51 80 41 133 64 55
"Nfe2l1" 2203 4325 2265 7432 3060 3480
"Copz2" 11 9 9 30 10 19
"Mir152" 0 0 0 0 0 0
"Cdk5rap3" 541 746 320 867 292 371
"Prr15l" 15 21 3 17 8 6
"Pnpo" 135 149 73 153 56 54
"D030028A08Rik" 88 135 75 161 99 101
"Sp2" 435 550 207 869 321 366
"Sp6" 42 46 15 51 14 18
"Scrn2" 58 67 23 75 19 36
"Lrrc46" 7 10 4 11 2 4
"Mrpl10" 387 449 189 423 159 137
"Osbpl7" 117 199 98 264 77 114
"Mir8103" 0 6 1 7 4 3
"Tbx21" 6 15 3 2 1 1
"Tbkbp1" 72 128 41 179 50 65
"Mir7235" 0 0 0 0 0 0
"Kpnb1" 9191 10980 4650 11931 3825 4391
"Npepps" 2213 3134 1603 3039 1265 1390
"Mrpl45" 914 988 362 698 234 257
"Gpr179" 24 73 14 48 21 18
"Socs7" 365 553 264 652 226 290
"Arhgap23" 582 1082 533 1318 501 580
"4933428G20Rik" 25 45 29 74 24 29
"Srcin1" 167 349 200 448 207 301
"2410003L11Rik" 80 129 49 203 56 89
"E130012A19Rik" 2326 2646 840 3848 905 1070
"Mllt6" 3997 7322 4021 14546 5808 6885
"Mir6927" 1 0 0 0 0 1
"Cisd3" 70 91 41 139 61 44
"Pcgf2" 566 931 402 1571 566 703
"Psmb3" 609 617 235 559 141 171
"Pip4k2b" 789 931 348 961 336 429
"Mir8102" 1 0 0 0 0 0
"Cwc25" 311 448 221 623 230 249
"1700001P01Rik" 8 8 13 9 5 0
"Rpl23" 4954 5497 1956 8390 2596 2968
"Snora21" 51 85 32 178 77 94
"Lasp1" 2702 3237 1426 3414 1084 1262
"B230217C12Rik" 12 19 23 16 10 9
"Fbxo47" 22 34 18 50 18 29
"Plxdc1" 61 133 63 866 402 573
"Arl5c" 16 28 9 26 9 8
"Cacnb1" 161 316 163 541 202 239
"Rpl19" 9083 9255 3388 13953 3905 4388
"Stac2" 143 242 132 191 67 87
"Fbxl20" 381 764 320 1322 574 730
"Med1" 1667 2822 1429 3726 1527 1771
"Cdk12" 3898 6117 2961 7793 3107 3642
"Mir5119" 4 4 1 5 2 4
"Neurod2" 2 5 2 5 1 4
"Ppp1r1b" 9 5 5 5 2 0
"1700003D09Rik" 2 1 1 0 0 1
"Stard3" 106 208 103 274 89 139
"Tcap" 3 5 1 4 0 0
"Pnmt" 1 1 0 8 2 0
"Pgap3" 27 45 34 106 39 38
"Erbb2" 140 343 224 380 187 224
"Mien1" 65 77 29 68 14 15
"Grb7" 325 363 146 435 140 159
"Ikzf3" 9 17 0 46 7 10
"Zpbp2" 3 1 0 3 6 0
"Ormdl3" 150 246 143 456 142 172
"Gm12" 1 11 0 2 1 3
"Gsdma3" 1 2 1 0 0 0
"Gsdma2" 1 0 0 0 1 0
"Gsdma" 4 11 2 7 3 1
"Psmd3" 1537 1868 796 2116 667 716
"Csf3" 1 5 5 4 3 3
"Med24" 613 927 431 1328 464 594
"Thra" 141 186 95 227 93 102
"Nr1d1" 118 159 58 182 57 49
"Msl1" 514 810 426 588 250 291
"Gm12359" 17 13 9 25 12 4
"Casc3" 689 1015 451 1437 508 590
"Rapgefl1" 54 122 61 123 68 62
"Wipf2" 486 732 433 815 311 408
"Cdc6" 566 785 310 694 248 262
"Rara" 911 1063 460 1719 594 745
"Gjd3" 3 2 2 5 2 3
"Top2a" 8264 10666 4933 16337 6193 6508
"Igfbp4" 87 182 86 111 43 72
"Tns4" 38 54 23 59 31 34
"Ccr7" 2 4 0 1 1 2
"Smarce1" 1171 1170 451 1786 527 631
"Krt222" 10 17 11 29 14 8
"Krt24" 0 1 0 0 0 0
"Krt25" 0 2 0 0 0 0
"Krt26" 2 1 0 2 0 0
"Krt27" 1 5 0 0 0 0
"Krt28" 3 3 1 1 0 1
"Krt10" 27 32 13 38 20 29
"Krt12" 7 10 2 4 0 0
"Krt20" 8 5 2 4 2 1
"Krt23" 5 3 0 1 1 0
"Krt39" 0 0 0 2 0 1
"Krt40" 0 0 0 0 0 0
"Krtap3-3" 0 0 0 0 0 0
"Krtap3-2" 0 0 0 0 0 0
"Krtap3-1" 0 0 0 0 0 0
"Krtap1-5" 1 0 0 0 0 0
"Krtap1-4" 0 0 0 0 0 0
"Krtap1-3" 0 0 0 0 0 0
"Krtap9-3" 0 0 0 0 0 0
"Gm11938" 0 0 0 0 0 0
"Gm11937" 0 0 0 0 0 0
"Krtap2-4" 0 1 0 0 0 0
"Gm11562" 0 0 0 0 0 0
"Krtap4-1" 0 0 0 0 0 0
"Krtap4-2" 0 0 0 0 0 0
"Krtap4-7" 0 0 0 0 0 0
"Gm11563" 0 0 0 0 0 0
"Krtap4-6" 0 2 0 0 0 0
"Gm11595" 0 0 0 0 0 0
"Krtap4-8" 0 0 0 0 0 0
"Krtap4-9" 0 0 0 0 0 0
"Gm11596" 0 0 0 0 0 0
"Gm11554" 1 0 0 0 0 0
"Gm11569" 0 0 0 0 0 0
"Krtap4-13" 0 0 0 0 0 0
"Gm11564" 3 2 1 0 1 0
"2300003K06Rik" 3 6 1 1 0 1
"Krtap4-16" 0 3 0 0 0 0
"Gm11568" 0 0 0 0 0 0
"Gm11559" 2 0 0 0 0 0
"Krtap9-1" 0 0 0 0 0 0
"Gm11567" 0 0 0 0 0 0
"Krtap31-1" 0 2 0 0 0 0
"Gm11565" 0 2 0 2 0 0
"Krtap31-2" 0 2 0 0 1 0
"Krtap9-5" 0 0 0 0 0 0
"Krtap16-1" 2 0 0 1 0 0
"Krtap17-1" 0 0 0 0 0 0
"Krt33a" 5 3 1 2 0 0
"Krt33b" 1 3 1 1 1 0
"Krt34" 0 0 0 0 0 0
"Krt31" 2 2 0 0 0 0
"Krt32" 1 2 0 0 0 0
"Krt35" 0 0 0 0 0 0
"Krt36" 1 7 3 1 2 0
"Krt13" 5 10 1 4 1 1
"Krt15" 1 7 3 3 1 0
"Krt19" 58 72 33 13 4 2
"Krt9" 5 9 7 0 1 4
"Krt14" 51 110 45 146 75 75
"Krt16" 9 7 0 1 1 1
"Krt17" 108 133 49 155 77 88
"Krt42" 160 251 84 116 32 52
"Eif1" 2290 2628 1049 4602 1578 1539
"Gast" 1 1 0 4 0 1
"Hap1" 458 608 265 1466 565 598
"Jup" 906 1256 641 1815 600 686
"P3h4" 115 244 120 199 76 114
"Fkbp10" 282 491 263 419 160 223
"Nt5c3b" 148 184 78 225 74 104
"Klhl10" 12 23 8 19 4 13
"Klhl11" 361 594 333 815 388 408
"Acly" 2586 3241 1357 3320 1038 1179
"Mir7116" 0 6 0 4 5 0
"Ttc25" 32 53 29 61 27 29
"Cnp" 94 134 29 121 42 52
"Dnajc7" 2058 2388 941 3752 1220 1285
"Nkiras2" 92 56 19 69 31 29
"Zfp385c" 25 47 37 58 33 30
"Dhx58" 28 49 17 31 10 9
"Kat2a" 1045 1405 563 1827 573 660
"Hspb9" 6 12 2 6 1 1
"Rab5c" 563 595 217 609 157 182
"Kcnh4" 7 24 17 41 24 24
"Hcrt" 1 0 1 0 0 0
"Ghdc" 131 297 170 390 180 185
"Stat5b" 44 75 36 94 41 66
"Stat5a" 24 33 19 69 27 48
"Stat3" 851 1143 532 2210 751 833
"Ptrf" 229 243 105 431 142 173
"Atp6v0a1" 371 831 443 1285 584 630
"Mir6928" 0 1 0 1 0 3
"Naglu" 16 42 15 77 18 20
"Hsd17b1" 5 26 6 26 15 10
"Coasy" 91 125 44 174 90 97
"Mlx" 225 230 80 264 83 86
"Psmc3ip" 180 216 81 224 83 71
"Fam134c" 344 607 371 1090 402 433
"Tubg1" 355 398 141 319 97 99
"Tubg2" 6 14 3 27 2 11
"Plekhh3" 20 54 14 41 10 22
"Ccr10" 1 3 0 11 2 2
"Cntnap1" 13 42 31 78 47 59
"Ezh1" 362 522 215 1032 409 502
"Ramp2" 13 19 9 31 13 17
"Vps25" 321 551 260 595 199 232
"Wnk4" 60 89 43 78 44 49
"Coa3" 104 121 50 116 30 27
"Cntd1" 11 21 15 37 13 25
"Becn1" 446 650 282 788 287 315
"Psme3" 1648 1948 790 2004 591 651
"Aoc2" 107 223 94 227 104 108
"Aoc3" 24 36 19 14 8 8
"G6pc" 3 6 2 3 0 2
"Aarsd1" 386 437 191 467 149 136
"Ptges3l" 6 16 7 20 11 6
"Mir6929" 0 0 0 0 1 0
"Rundc1" 128 193 65 292 94 138
"Rpl27" 3287 3337 1347 4034 1150 1228
"Ifi35" 22 24 9 31 13 8
"Vat1" 425 483 177 828 268 230
"Rnd2" 27 50 6 31 9 5
"Brca1" 2029 2998 1549 5038 2052 2332
"Nbr1" 1592 2243 1017 3100 1066 1363
"Tmem106a" 33 70 45 113 38 57
"LOC666331" 15 29 9 15 8 7
"Rdm1" 264 383 154 491 204 203
"Arl4d" 30 80 20 49 14 8
"Dhx8" 1703 2099 889 2093 670 832
"Etv4" 492 696 303 1032 300 331
"Meox1" 11 11 6 4 1 1
"4930417O22Rik" 14 18 24 35 18 12
"Sost" 2 6 2 1 0 0
"Dusp3" 140 213 102 264 93 130
"1700006E09Rik" 2 0 0 0 0 0
"Mpp3" 21 75 16 51 21 22
"Cd300lg" 31 56 22 44 30 26
"Mpp2" 27 59 21 43 11 28
"Ppy" 1 1 0 0 0 0
"Pyy" 2 0 0 0 0 0
"Nags" 6 5 1 4 0 0
"Tmem101" 203 419 220 488 231 245
"Lsm12" 671 673 267 614 193 256
"G6pc3" 19 49 40 123 62 73
"Hdac5" 529 843 380 1278 506 619
"Mir8101" 0 0 0 0 0 0
"BC030867" 331 523 217 693 226 332
"Asb16" 10 12 6 11 3 7
"Tmub2" 119 197 129 372 152 188
"Atxn7l3" 708 1104 455 1339 475 559
"Ubtf" 3858 5064 2079 8118 2700 3096
"Slc4a1" 5 9 6 7 7 3
"Bloodlinc" 2 3 1 0 2 0
"Rundc3a" 88 166 77 246 74 109
"Slc25a39" 851 996 360 1072 335 372
"Mir6930" 0 0 0 0 0 0
"Grn" 541 1370 859 3403 1444 2030
"Fam171a2" 69 111 79 89 37 67
"Itga2b" 33 64 23 27 16 16
"Gpatch8" 1580 2234 1110 3394 1358 1725
"Gm11627" 11 28 9 8 8 7
"Fzd2" 64 145 84 63 20 23
"2810433D01Rik" 4 4 0 6 6 1
"Gm1564" 188 280 143 404 126 226
"Ccdc43" 602 660 259 755 244 274
"Adam11" 45 74 34 68 33 37
"Gjc1" 548 1075 537 2701 1109 1283
"Higd1b" 3 6 16 20 3 6
"Eftud2" 2422 3000 1227 3055 950 1147
"Ccdc103" 2 6 2 2 2 0
"Fam187a" 3 1 1 0 0 0
"Gfap" 9 6 7 18 6 9
"Kif18b" 732 1092 522 962 414 367
"C1ql1" 32 52 24 24 4 13
"2410004I01Rik" 5 11 2 1 0 0
"Dcakd" 949 1001 423 761 191 269
"Mir6931" 2 0 1 0 0 0
"Nmt1" 1644 1806 623 1451 484 480
"Plcd3" 116 153 67 194 60 102
"Acbd4" 57 62 30 64 29 39
"Hexim1" 696 779 312 1162 351 368
"Hexim2" 44 69 9 84 16 34
"Fmnl1" 47 94 43 251 85 132
"1700023F06Rik" 5 7 7 10 4 0
"Spata32" 0 2 2 2 0 1
"Map3k14" 58 82 42 70 23 25
"Arhgap27" 101 137 58 201 74 92
"Arhgap27os3" 17 16 9 58 23 20
"Plekhm1" 975 1444 671 2253 877 976
"Gm884" 10 7 1 1 10 1
"Lyzl6" 0 0 0 0 0 0
"1700072I22Rik" 0 2 0 1 0 0
"Rprml" 3 1 4 5 2 2
"Gosr2" 340 359 155 450 135 118
"C130046K22Rik" 45 76 40 106 58 64
"Wnt9b" 2 9 2 2 0 0
"Wnt3" 10 43 38 12 6 5
"Nsf" 862 1137 484 1009 312 391
"Arf2" 87 99 37 128 40 42
"Crhr1" 4 3 0 0 0 2
"Sppl2c" 2 0 2 0 0 1
"Mapt" 278 435 225 1082 435 492
"Kansl1" 1506 2655 1415 3660 1585 1761
"Cdc27" 1230 1887 906 1851 624 747
"Myl4" 12 12 6 6 1 2
"Gm11665" 1 2 1 5 0 0
"Itgb3" 61 164 110 117 56 65
"Efcab3" 3 13 2 14 0 5
"Mettl2" 437 481 206 676 199 195
"Tlk2" 1532 2394 1125 3343 1372 1612
"1700052K11Rik" 32 45 15 58 19 16
"Mrc2" 249 536 271 458 187 197
"March10" 2 7 1 1 0 1
"Tanc2" 234 404 216 773 351 435
"Cyb561" 90 145 86 221 93 95
"Gm11651" 4 3 0 1 1 0
"Ace" 27 42 19 142 71 122
"Ace3" 3 8 2 8 5 5
"Kcnh6" 31 42 28 42 23 27
"Dcaf7" 694 791 295 1159 379 432
"Taco1" 82 93 33 86 22 30
"Map3k3" 335 554 224 714 251 275
"Limd2" 125 173 76 203 80 90
"Strada" 193 256 143 392 133 200
"Ccdc47" 1088 2447 1498 4065 1732 2031
"Ddx42" 1687 2251 974 3458 1221 1294
"Ftsj3" 3672 5529 2498 7135 2451 2561
"Psmc5" 951 960 345 1022 308 335
"Smarcd2" 414 505 189 471 150 183
"Tcam1" 12 10 5 19 3 8
"Gh" 0 1 1 1 0 0
"Cd79b" 6 4 8 5 5 4
"Scn4a" 7 16 4 5 5 4
"Prr29" 1 0 1 3 0 1
"Icam2" 7 4 0 21 6 9
"Ern1" 154 309 158 458 222 227
"Snord104" 57 163 83 169 47 76
"Tex2" 538 971 535 1347 510 632
"Pecam1" 797 1856 1116 3725 1736 2008
"Milr1" 59 137 85 153 72 89
"Polg2" 54 137 41 119 46 57
"Ddx5" 7821 10316 4923 16818 6328 7023
"Mir3064" 10 27 16 26 12 14
"Cep95" 216 363 179 712 267 322
"Smurf2" 487 735 320 995 395 440
"Kpna2" 3184 4040 1812 4501 1608 1414
"1810010H24Rik" 26 34 22 49 25 22
"Bptf" 8554 13391 6408 16798 6530 7585
"Gm11715" 3 10 6 11 2 2
"Nol11" 1085 1456 634 1497 551 545
"Pitpnc1" 1098 1770 824 3600 1453 1652
"Psmd12" 1301 1249 529 1447 483 427
"Helz" 2820 4367 2297 7334 2956 3298
"Mir6932" 1 2 0 3 0 3
"Cacng1" 1 2 2 14 1 4
"Cacng4" 15 20 21 13 7 5
"Cacng5" 7 12 6 46 9 9
"Prkca" 96 127 61 368 151 114
"Mir7223" 1 0 0 0 1 0
"Apoh" 0 1 1 0 0 0
"Cep112" 42 60 38 404 168 219
"Axin2" 115 160 94 416 146 176
"E030025P04Rik" 0 1 0 0 0 0
"Rgs9" 89 190 82 745 327 471
"1700096J18Rik" 0 0 3 4 0 0
"Gm11696" 45 88 37 106 48 45
"Gna13" 672 828 363 1405 510 584
"Amz2" 128 163 75 206 71 92
"LOC100503496" 1 1 0 0 0 1
"Slc16a6" 89 163 94 378 145 159
"Arsg" 9 13 11 46 24 20
"Wipi1" 39 69 18 156 69 82
"Prkar1a" 732 868 306 1167 402 397
"Fam20a" 4 4 2 13 1 6
"1700012B07Rik" 1 2 0 1 0 1
"1700023C21Rik" 0 0 0 0 0 1
"Abca8b" 10 40 21 98 27 47
"Abca8a" 4 4 3 2 0 0
"Abca9" 0 2 0 2 1 0
"Abca6" 20 49 33 61 29 38
"Abca5" 35 121 71 297 136 131
"Map2k6" 112 142 42 96 39 65
"Kcnj16" 103 227 125 265 158 177
"Kcnj2" 10 13 2 16 11 4
"BC006965" 16 21 14 22 10 20
"Sox9" 12 23 5 19 9 13
"Gm11681" 0 0 0 0 0 0
"1700012H19Rik" 0 0 0 0 0 0
"2610035D17Rik" 5 15 2 21 6 6
"4732490B19Rik" 1 0 0 1 1 1
"Slc39a11" 68 91 53 201 49 73
"Sstr2" 5 12 4 17 5 9
"Cog1" 228 336 176 437 172 200
"Fam104a" 326 362 180 480 138 146
"D11Wsu47e" 268 312 124 467 149 145
"Cpsf4l" 107 172 62 209 76 118
"Cdc42ep4" 251 312 102 286 98 115
"Sdk2" 23 62 23 101 51 57
"1700092K14Rik" 0 0 0 0 0 0
"Mir466n" 0 0 0 0 0 0
"4932435O22Rik" 4 12 7 13 11 16
"Rpl38" 1016 1116 394 1272 312 413
"Ttyh2" 104 271 175 206 78 159
"Dnaic2" 22 22 2 38 12 11
"Kif19a" 11 27 9 9 6 6
"Btbd17" 14 17 2 15 2 0
"Gpr142" 5 11 3 1 2 0
"Gprc5c" 83 277 169 132 57 72
"Cd300a" 422 977 672 1257 696 718
"Cd300lb" 3 1 0 0 1 0
"Cd300c" 1 0 0 1 0 0
"Cd300ld" 7 21 9 13 6 5
"AF251705" 0 0 2 1 0 0
"Gm11710" 0 0 0 0 0 0
"Gm11711" 0 0 0 0 0 0
"Cd300lh" 0 0 0 0 0 0
"Cd300e" 0 1 1 4 0 0
"Rab37" 4 7 7 10 2 9
"Cd300lf" 37 100 33 89 43 60
"Slc9a3r1" 510 594 265 729 222 257
"Nat9" 69 61 21 83 23 29
"Tmem104" 94 200 139 362 160 145
"Grin2c" 7 10 8 65 21 19
"Fdxr" 88 113 63 117 52 59
"Fads6" 10 30 10 61 14 45
"Otop2" 1 3 2 4 3 0
"Ush1g" 4 14 5 7 4 7
"Otop3" 1 4 0 1 0 1
"Hid1" 25 31 14 13 8 4
"Cdr2l" 183 314 124 171 58 87
"Ict1" 225 260 108 209 82 83
"Atp5h" 1215 1310 503 1696 501 511
"Kctd2" 111 149 81 189 74 82
"Trim80" 8 7 4 2 1 4
"Mir3968" 0 0 0 0 0 0
"Slc16a5" 26 37 8 14 12 8
"Armc7" 31 50 26 73 14 33
"Nt5c" 60 74 35 82 24 16
"Hn1" 581 687 339 649 171 162
"Sumo2" 2145 2451 990 2419 702 790
"Nup85" 1271 1822 837 1696 566 633
"Gga3" 754 1359 682 1887 721 806
"Mrps7" 400 414 131 288 94 97
"Mif4gd" 285 477 214 659 220 258
"Slc25a19" 167 208 101 385 144 150
"Grb2" 826 858 335 992 281 351
"2310067B10Rik" 338 660 333 1214 504 569
"Mir5621" 0 0 0 0 0 0
"Caskin2" 211 288 157 231 108 106
"Tsen54" 189 288 143 300 110 156
"Llgl2" 589 927 492 1314 433 615
"Recql5" 293 456 234 683 223 280
"Smim5" 23 64 38 75 41 35
"Smim6" 59 129 79 163 58 78
"Sap30bp" 438 573 226 531 177 218
"Itgb4" 204 390 221 323 122 127
"Galk1" 436 517 203 326 93 148
"H3f3b" 3082 3267 1334 7484 2495 2722
"Unk" 507 831 396 1456 527 659
"Unc13d" 39 81 23 81 40 47
"Wbp2" 405 475 199 798 251 284
"Trim47" 15 34 11 12 8 1
"Trim65" 3 10 6 8 7 2
"Mrpl38" 511 662 272 663 194 225
"Fbf1" 386 648 264 789 283 308
"Acox1" 192 270 147 517 189 282
"Ten1" 24 51 8 48 13 17
"Cdk3-ps" 13 10 6 34 12 16
"Evpl" 176 281 106 184 63 84
"Srp68" 772 957 340 1181 355 448
"Galr2" 12 16 9 16 8 13
"Exoc7" 245 269 128 355 130 154
"Foxj1" 18 27 8 25 8 9
"Rnf157" 85 134 57 265 115 154
"Ubald2" 0 0 0 3 1 1
"Gm7367" 0 0 0 0 0 0
"Qrich2" 8 6 4 15 2 7
"Prpsap1" 930 1204 540 1015 386 427
"Sphk1" 7 12 6 23 11 8
"Ube2o" 1231 1766 786 2083 690 827
"Aanat" 2 4 1 6 5 6
"Rhbdf2" 323 666 357 838 337 410
"Cygb" 5 8 1 1 1 0
"Gm11744" 14 12 3 7 1 1
"1810032O08Rik" 379 806 343 712 270 325
"Snord1c" 114 346 191 280 97 120
"Snord1b" 211 429 241 386 130 217
"Snord1a" 0 0 0 0 0 0
"St6galnac2" 213 483 251 726 280 375
"BC018473" 735 1874 1233 1327 390 711
"St6galnac1" 6 21 2 6 5 12
"Mxra7" 91 120 62 114 30 38
"Jmjd6" 506 590 266 604 197 192
"Mettl23" 109 157 103 276 103 122
"Srsf2" 3146 3631 1557 4382 1516 1578
"Mfsd11" 468 860 507 939 411 428
"Mgat5b" 198 296 146 333 127 142
"Snhg20" 50 65 43 202 62 74
"Mir6516" 30 44 14 55 10 23
"Sec14l1" 877 1083 442 1334 502 572
"Sept9" 950 1182 452 1033 271 352
"Gm11729" 1 2 0 1 0 0
"Gm11733" 0 1 3 2 0 0
"2900041M22Rik" 15 13 2 11 5 5
"Tnrc6c" 1661 2529 1249 5945 2476 2946
"Tmc6" 186 383 211 726 295 401
"Tmc8" 77 151 99 227 106 121
"6030468B19Rik" 2 6 1 2 0 0
"Syngr2" 211 428 222 434 147 168
"Tk1" 159 208 91 203 63 67
"Afmid" 18 35 20 50 18 29
"Birc5" 1201 1362 531 1661 548 535
"Tmem235" 4 10 2 14 5 8
"Tha1" 8 18 6 35 9 15
"Socs3" 512 668 270 790 241 299
"Pgs1" 467 731 342 747 283 297
"Mir6933" 1 0 0 0 0 0
"Dnah17" 163 338 171 842 328 442
"Cyth1" 71 96 36 107 45 50
"Usp36" 1809 2719 1147 3279 1205 1204
"Timp2" 30 77 48 32 22 23
"BC100451" 9 15 15 9 3 3
"Lgals3bp" 7 29 17 11 6 7
"Cant1" 205 357 190 563 208 220
"C1qtnf1" 6 4 3 2 3 3
"Gm11747" 0 3 0 0 0 0
"Engase" 106 148 66 137 49 51
"Rbfox3" 22 35 14 44 14 19
"Enpp7" 1 0 1 0 1 0
"Cbx2" 203 250 102 294 86 103
"Cbx8" 4 9 1 3 1 3
"Cbx4" 20 34 13 54 17 13
"Tbc1d16" 301 330 163 674 229 284
"Mir6934" 0 0 0 1 0 0
"Ccdc40" 176 317 109 205 65 115
"Gaa" 606 1387 826 2521 1049 1351
"Eif4a3" 1602 1866 751 1524 461 555
"Card14" 7 13 4 9 2 3
"Sgsh" 25 65 28 65 32 48
"Slc26a11" 35 59 24 62 35 45
"Mir1932" 0 0 0 0 0 1
"Endov" 146 196 107 396 206 203
"Nptx1" 21 32 22 53 34 35
"Gm11762" 0 0 0 2 0 1
"Rptor" 1155 1862 945 2708 1118 1274
"Rptoros" 26 55 33 53 34 29
"Mir5098" 37 64 39 52 37 46
"Chmp6" 156 181 79 347 114 109
"Baiap2" 182 289 137 291 96 103
"Aatk" 20 26 14 24 7 12
"Mir338" 0 0 0 0 0 0
"Mir3065" 0 0 0 0 0 0
"Cep131" 428 580 258 869 406 446
"Enthd2" 197 234 120 304 122 150
"1810043H04Rik" 71 65 26 76 24 28
"Slc38a10" 1162 2307 1168 2639 983 1307
"2810410L24Rik" 4 12 1 7 1 3
"Bahcc1" 1169 2064 1063 2458 961 1148
"Actg1" 11472 12372 4641 8540 2439 3210
"Mir6935" 2 1 1 9 0 1
"0610009L18Rik" 6 8 3 11 3 1
"Fscn2" 7 23 13 41 13 16
"Faap100" 153 261 77 266 87 130
"Nploc4" 881 1117 527 1163 411 465
"Tspan10" 3 8 7 4 1 3
"Pde6g" 3 0 5 4 3 3
"Oxld1" 5 7 2 7 3 2
"Ccdc137" 240 329 155 395 127 131
"Arl16" 49 84 52 104 41 42
"Hgs" 763 1109 524 1232 409 493
"Mrpl12" 797 846 252 597 155 129
"Slc25a10" 64 116 58 108 45 39
"Gcgr" 7 7 5 7 5 3
"Fam195b" 106 125 37 134 44 54
"Ppp1r27" 1 6 0 6 0 0
"P4hb" 4179 9323 5684 9829 3678 4249
"Arhgdia" 2438 2498 936 2200 567 685
"Alyref" 1102 1105 424 1116 324 365
"Anapc11" 193 252 106 275 75 115
"Npb" 5 6 1 29 2 11
"Pcyt2" 347 561 304 706 243 314
"Sirt7" 68 146 83 166 62 75
"Mir6936" 0 0 0 0 0 0
"Mafg" 504 855 373 1278 486 580
"Pycr1" 192 306 157 383 180 198
"Myadml2" 3 15 5 14 4 8
"Notum" 534 963 469 1622 581 813
"Aspscr1" 644 1009 435 1455 453 567
"Stra13" 147 199 99 229 64 105
"Lrrc45" 395 662 334 623 237 285
"Rac3" 62 66 22 47 13 26
"Dcxr" 54 81 37 51 13 29
"Cbr2" 0 1 1 0 0 0
