"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Ankrd39" 32 41 24 72 34 30
"Sema4c" 74 149 94 132 49 56
"Fam178b" 110 196 77 457 203 210
"Cox5b" 666 824 312 985 350 329
"Actr1b" 467 695 307 659 180 252
"4933424G06Rik" 4 0 1 4 2 1
"Zap70" 16 33 8 7 3 14
"Tmem131" 4203 9575 5640 18027 7855 9012
"Cnga3" 134 231 94 191 74 109
"Inpp4a" 176 301 169 403 178 182
"Coa5" 546 797 484 812 346 360
"Unc50" 90 169 69 245 83 80
"Mgat4a" 179 327 213 375 163 198
"4930594C11Rik" 64 108 50 109 56 66
"2010300C02Rik" 11 22 7 14 4 7
"Tsga10" 17 45 25 68 32 35
"Lipt1" 47 53 26 59 25 33
"Mitd1" 139 157 76 138 61 76
"Mrpl30" 233 211 88 180 64 68
"Lyg2" 1 4 0 0 0 0
"Lyg1" 1 1 0 0 1 0
"Txndc9" 425 577 234 596 197 232
"Eif5b" 5001 6505 2748 9249 3640 4180
"Rev1" 907 1647 801 1573 676 653
"Aff3" 190 331 129 341 100 112
"Lonrf2" 18 18 7 49 11 17
"Chst10" 107 252 100 354 124 143
"Nms" 0 0 0 1 1 0
"Pdcl3" 203 234 90 172 39 44
"Mir6349" 0 0 0 0 0 0
"Npas2" 8 18 8 16 5 7
"Rpl31" 1593 1653 569 1875 532 613
"Tbc1d8" 179 286 140 362 143 183
"Cnot11" 501 611 328 677 236 281
"Snord89" 2 6 0 8 1 0
"Rnf149" 592 1113 607 1376 488 575
"Creg2" 148 334 167 430 220 230
"Rfx8" 2 5 2 7 0 4
"Gm3646" 0 0 0 0 0 0
"1700066B17Rik" 1 4 2 3 3 4
"Map4k4" 3993 5258 2438 4392 1721 2180
"Gm16894" 1 3 1 1 0 0
"Il1r2" 5 8 2 0 1 0
"Il1r1" 4 12 4 9 5 4
"Il1rl2" 8 11 2 29 13 18
"Il1rl1" 19 40 22 30 19 17
"Il18r1" 77 162 96 202 91 137
"Il18rap" 8 8 1 1 1 3
"Slc9a4" 4 3 0 3 0 0
"Slc9a2" 5 5 1 1 1 1
"Mfsd9" 13 33 21 31 13 26
"Tmem182" 0 0 0 0 0 0
"4930448I06Rik" 0 0 0 0 0 0
"Pantr1" 0 0 0 0 0 0
"Pou3f3" 3 3 9 12 3 3
"2900092D14Rik" 39 82 30 102 76 67
"Pantr2" 0 0 0 0 0 0
"Dalir" 0 4 1 1 0 0
"Mrps9" 506 647 255 713 194 286
"Gpr45" 2 3 0 4 0 2
"Tgfbrap1" 92 142 66 216 81 120
"AI597479" 203 269 96 388 120 162
"Fhl2" 6 10 1 10 1 3
